equipment_id,sensor_name,measurements,first_seen,last_seen,unreadable_timestamps,missing_values,distinct_units,median_step_hours,max_step_hours
EQ-COMP-233,pressure_bar,721,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,0,1,6.0,6.0
EQ-COMP-233,temperature_c,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,0,1,6.0,6.0
EQ-COMP-249,pressure_bar,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,0,1,6.0,6.0
EQ-COMP-396,pressure_bar,721,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-CONV-003,current_a,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-CONV-003,rpm,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,0,1,6.0,6.0
EQ-CONV-262,current_a,721,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-CONV-262,rpm,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-CONV-336,current_a,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,0,1,6.0,6.0
EQ-CONV-336,rpm,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-CONV-376,current_a,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,0,1,6.0,6.0
EQ-CONV-376,rpm,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-FAN-002,current_a,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-FAN-002,rpm,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,0,1,6.0,6.0
EQ-FAN-002,vibration_mm_s,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-FAN-003,rpm,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,0,1,6.0,6.0
EQ-FAN-003,vibration_mm_s,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-FAN-204,vibration_mm_s,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-FAN-284,rpm,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-FAN-284,vibration_mm_s,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,0,1,6.0,6.0
EQ-FAN-304,rpm,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-FAN-304,vibration_mm_s,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,0,1,6.0,6.0
EQ-MIX-159,current_a,676,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,270.0
EQ-MIX-159,vibration_mm_s,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,0,1,6.0,6.0
EQ-MIX-259,current_a,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,0,1,6.0,6.0
EQ-MIX-259,vibration_mm_s,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-MIX-379,current_a,721,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-MIX-379,vibration_mm_s,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,0,1,6.0,6.0
EQ-ORPHAN-777,temperature_c,30,2026-02-01 00:00:00+00:00,2026-02-08 06:00:00+00:00,0,0,1,6.0,6.0
EQ-OVEN-001,current_a,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-OVEN-001,temperature_c,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-OVEN-123,current_a,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-OVEN-123,temperature_c,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,0,1,6.0,6.0
EQ-OVEN-223,current_a,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,0,1,6.0,6.0
EQ-OVEN-223,temperature_c,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,0,1,6.0,6.0
EQ-OVEN-366,current_a,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,0,1,6.0,6.0
EQ-OVEN-366,temperature_c,721,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-OVEN-386,current_a,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-OVEN-386,temperature_c,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-PUMP-001,TEMPERATURE_C ,40,2026-01-02 00:00:00+00:00,2026-01-11 18:00:00+00:00,0,0,1,6.0,6.0
EQ-PUMP-001,pressure_bar,721,2026-01-02 00:00:00+00:00,2026-07-02 00:00:00+00:00,0,1,1,6.0,30.0
EQ-PUMP-001,temperature_c,680,2026-01-12 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,0,1,6.0,6.0
EQ-PUMP-001,vibration_mm_s,721,2025-12-29 12:00:00+00:00,2026-06-30 20:00:00+00:00,0,0,1,6.0,86.0
EQ-PUMP-006,temperature_c,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-PUMP-006,vibration_mm_s,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,0,1,6.0,6.0
EQ-PUMP-171,temperature_c,722,2026-01-02 00:00:00+00:00,2026-07-04 12:00:00+00:00,0,0,1,6.0,90.0
EQ-PUMP-171,vibration_mm_s,721,2026-01-02 00:00:00+00:00,2026-07-03 06:00:00+00:00,0,1,1,6.0,60.0
EQ-PUMP-350,temperature_c,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,0,1,6.0,6.0
EQ-PUMP-350,vibration_mm_s,721,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-ROBOT-358,current_a,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-ROBOT-358,vibration_mm_s,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-SENSOR-305,temperature_c,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,2,6.0,6.0
EQ-STEAM-341,pressure_bar,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,1,1,6.0,6.0
EQ-STEAM-341,temperature_c,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,0,1,6.0,6.0
EQ-STEAM-352,pressure_bar,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,0,1,6.0,6.0
EQ-STEAM-352,temperature_c,720,2026-01-02 00:00:00+00:00,2026-06-30 18:00:00+00:00,0,0,1,6.0,6.0
