site_id,criticality,effectif,cout_moyen_borne,epsilon,echelle_bruit_somme,erreur_absolue_mediane,erreur_relative_mediane,intervalle_5_95,part_hors_plage,part_conclusion_conservee
SITE-NORD,high,284,236.04,10.0,150.0,0.41,0.0017,"[234.77, 237.25]",0.0,1.0
SITE-NORD,high,284,236.04,20.0,75.0,0.21,0.0009,"[235.42, 236.72]",0.0,1.0
SITE-NORD,high,284,236.04,50.0,30.0,0.09,0.0004,"[235.79, 236.29]",0.0,1.0
SITE-NORD,low,95,194.88,0.1,15000.0,122.34,0.6278,"[-150.14, 649.76]",0.1785,0.5565
SITE-NORD,low,95,194.88,0.5,3000.0,22.73,0.1166,"[124.21, 271.86]",0.0005,0.7385
SITE-NORD,low,95,194.88,1.0,1500.0,12.15,0.0623,"[158.36, 230.74]",0.0,0.876
SITE-NORD,low,95,194.88,2.0,750.0,6.13,0.0314,"[176.31, 213.74]",0.0,0.9695
SITE-NORD,low,95,194.88,5.0,300.0,2.35,0.0121,"[187.88, 202.53]",0.0,0.9995
SITE-NORD,low,95,194.88,10.0,150.0,1.2,0.0061,"[190.74, 198.48]",0.0,1.0
SITE-NORD,low,95,194.88,20.0,75.0,0.62,0.0032,"[192.89, 196.68]",0.0,1.0
SITE-NORD,low,95,194.88,50.0,30.0,0.24,0.0012,"[194.18, 195.58]",0.0,1.0
SITE-NORD,medium,319,190.52,0.1,15000.0,33.76,0.1772,"[74.84, 308.62]",0.0125,0.6955
SITE-NORD,medium,319,190.52,0.5,3000.0,6.94,0.0364,"[168.02, 212.45]",0.0,0.9725
SITE-NORD,medium,319,190.52,1.0,1500.0,3.62,0.019,"[179.47, 202.28]",0.0,0.998
SITE-NORD,medium,319,190.52,2.0,750.0,1.72,0.0091,"[184.85, 196.35]",0.0,1.0
SITE-NORD,medium,319,190.52,5.0,300.0,0.71,0.0037,"[188.36, 192.69]",0.0,1.0
SITE-NORD,medium,319,190.52,10.0,150.0,0.37,0.0019,"[189.29, 191.58]",0.0,1.0
SITE-NORD,medium,319,190.52,20.0,75.0,0.17,0.0009,"[190.0, 191.03]",0.0,1.0
SITE-NORD,medium,319,190.52,50.0,30.0,0.07,0.0004,"[190.3, 190.74]",0.0,1.0
SITE-OUEST,critical,4,264.32,0.1,15000.0,2153.46,8.1472,"[-20814.52, 23428.12]",0.8335,0.4465
SITE-OUEST,critical,4,264.32,0.5,3000.0,581.11,2.1985,"[-2870.88, 3998.52]",0.638,0.5025
SITE-OUEST,critical,4,264.32,1.0,1500.0,293.62,1.1109,"[-716.13, 1846.25]",0.452,0.536
SITE-OUEST,critical,4,264.32,2.0,750.0,144.0,0.5448,"[-144.26, 891.6]",0.2025,0.5865
SITE-OUEST,critical,4,264.32,5.0,300.0,57.94,0.2192,"[90.92, 469.35]",0.0185,0.7055
SITE-OUEST,critical,4,264.32,10.0,150.0,29.64,0.1121,"[174.11, 360.21]",0.0,0.8455
SITE-OUEST,critical,4,264.32,20.0,75.0,14.79,0.056,"[217.9, 314.33]",0.0,0.9525
SITE-OUEST,critical,4,264.32,50.0,30.0,6.05,0.0229,"[246.06, 281.5]",0.0,0.9995
SITE-OUEST,high,14,81.9,0.1,15000.0,925.54,11.3008,"[-15112.8, 16861.93]",0.7525,0.58
SITE-OUEST,high,14,81.9,0.5,3000.0,155.95,1.9042,"[-454.05, 746.07]",0.394,0.7155
SITE-OUEST,high,14,81.9,1.0,1500.0,77.67,0.9483,"[-185.17, 362.43]",0.234,0.8395
SITE-OUEST,high,14,81.9,2.0,750.0,39.06,0.4769,"[-46.21, 204.26]",0.113,0.961
SITE-OUEST,high,14,81.9,5.0,300.0,15.7,0.1916,"[34.75, 129.93]",0.009,0.998
SITE-OUEST,high,14,81.9,10.0,150.0,7.3,0.0891,"[58.02, 106.13]",0.001,1.0
SITE-OUEST,high,14,81.9,20.0,75.0,3.73,0.0455,"[70.3, 94.06]",0.0,1.0
SITE-OUEST,high,14,81.9,50.0,30.0,1.5,0.0183,"[77.14, 87.01]",0.0,1.0
SITE-OUEST,low,4,219.18,0.1,15000.0,1916.17,8.7425,"[-19087.77, 20335.73]",0.823,0.438
SITE-OUEST,low,4,219.18,0.5,3000.0,526.94,2.4041,"[-2533.4, 3711.64]",0.6415,0.473
SITE-OUEST,low,4,219.18,1.0,1500.0,324.98,1.4827,"[-791.07, 2061.21]",0.4865,0.498
SITE-OUEST,low,4,219.18,2.0,750.0,153.84,0.7019,"[-243.28, 904.29]",0.2405,0.4995
SITE-OUEST,low,4,219.18,5.0,300.0,55.97,0.2554,"[26.91, 409.92]",0.037,0.4925
SITE-OUEST,low,4,219.18,10.0,150.0,28.78,0.1313,"[132.79, 312.35]",0.0025,0.5255
SITE-OUEST,low,4,219.18,20.0,75.0,14.45,0.0659,"[173.73, 262.66]",0.0,0.5355
SITE-OUEST,low,4,219.18,50.0,30.0,5.77,0.0263,"[201.29, 236.29]",0.0,0.5885
SITE-OUEST,medium,27,223.5,0.1,15000.0,458.48,2.0514,"[-3012.02, 10849.23]",0.601,0.4825
SITE-OUEST,medium,27,223.5,0.5,3000.0,85.58,0.3829,"[-32.21, 545.39]",0.083,0.517
SITE-OUEST,medium,27,223.5,1.0,1500.0,44.27,0.1981,"[94.41, 375.17]",0.0075,0.5595
SITE-OUEST,medium,27,223.5,2.0,750.0,20.85,0.0933,"[163.06, 297.03]",0.001,0.5785
SITE-OUEST,medium,27,223.5,5.0,300.0,8.7,0.0389,"[197.15, 250.41]",0.0,0.695
SITE-OUEST,medium,27,223.5,10.0,150.0,4.21,0.0188,"[211.09, 237.1]",0.0,0.8315
SITE-OUEST,medium,27,223.5,20.0,75.0,2.03,0.0091,"[216.96, 230.56]",0.0,0.9355
SITE-OUEST,medium,27,223.5,50.0,30.0,0.82,0.0037,"[220.85, 226.02]",0.0,0.999
SITE-SUD,critical,52,209.72,0.1,15000.0,216.12,1.0305,"[-539.45, 2288.89]",0.374,0.5145
SITE-SUD,critical,52,209.72,0.5,3000.0,45.38,0.2164,"[70.97, 363.92]",0.0165,0.5465
SITE-SUD,critical,52,209.72,1.0,1500.0,21.09,0.1005,"[135.43, 279.99]",0.0005,0.607
SITE-SUD,critical,52,209.72,2.0,750.0,10.82,0.0516,"[175.65, 244.96]",0.0,0.688
SITE-SUD,critical,52,209.72,5.0,300.0,4.28,0.0204,"[195.77, 223.64]",0.0,0.8575
SITE-SUD,critical,52,209.72,10.0,150.0,2.22,0.0106,"[202.67, 216.97]",0.0,0.96
SITE-SUD,critical,52,209.72,20.0,75.0,1.11,0.0053,"[206.42, 213.03]",0.0,0.998
SITE-SUD,critical,52,209.72,50.0,30.0,0.45,0.0022,"[208.32, 211.25]",0.0,1.0
SITE-SUD,high,153,213.65,0.1,15000.0,76.62,0.3586,"[-8.09, 476.06]",0.0655,0.505
SITE-SUD,high,153,213.65,0.5,3000.0,15.48,0.0725,"[165.23, 261.38]",0.0,0.5625
SITE-SUD,high,153,213.65,1.0,1500.0,7.51,0.0352,"[191.16, 236.43]",0.0,0.639
SITE-SUD,high,153,213.65,2.0,750.0,3.63,0.017,"[202.12, 224.82]",0.0,0.771
SITE-SUD,high,153,213.65,5.0,300.0,1.42,0.0066,"[209.41, 218.35]",0.0,0.919
SITE-SUD,high,153,213.65,10.0,150.0,0.75,0.0035,"[211.4, 216.09]",0.0,0.991
SITE-SUD,high,153,213.65,20.0,75.0,0.37,0.0017,"[212.52, 214.89]",0.0,1.0
SITE-SUD,high,153,213.65,50.0,30.0,0.14,0.0007,"[213.19, 214.15]",0.0,1.0
SITE-SUD,low,110,258.31,0.1,15000.0,106.54,0.4124,"[-51.88, 684.94]",0.113,0.609
SITE-SUD,low,110,258.31,0.5,3000.0,20.59,0.0797,"[192.9, 323.94]",0.0,0.8845
SITE-SUD,low,110,258.31,1.0,1500.0,10.36,0.0401,"[227.38, 291.41]",0.0,0.9755
SITE-SUD,low,110,258.31,2.0,750.0,5.15,0.02,"[241.59, 274.21]",0.0,0.9985
SITE-SUD,low,110,258.31,5.0,300.0,2.33,0.009,"[251.52, 264.72]",0.0,1.0
SITE-SUD,low,110,258.31,10.0,150.0,1.08,0.0042,"[254.89, 261.35]",0.0,1.0
SITE-SUD,low,110,258.31,20.0,75.0,0.55,0.0021,"[256.67, 259.89]",0.0,1.0
SITE-SUD,low,110,258.31,50.0,30.0,0.21,0.0008,"[257.65, 258.95]",0.0,1.0
SITE-SUD,medium,230,208.75,0.1,15000.0,49.68,0.238,"[56.58, 361.87]",0.023,0.561
SITE-SUD,medium,230,208.75,0.5,3000.0,10.11,0.0484,"[179.2, 240.03]",0.0,0.714
SITE-SUD,medium,230,208.75,1.0,1500.0,4.82,0.0231,"[192.76, 223.73]",0.0,0.875
SITE-SUD,medium,230,208.75,2.0,750.0,2.6,0.0125,"[201.3, 216.57]",0.0,0.959
SITE-SUD,medium,230,208.75,5.0,300.0,0.94,0.0045,"[205.57, 211.83]",0.0,0.998
SITE-SUD,medium,230,208.75,10.0,150.0,0.51,0.0025,"[207.15, 210.3]",0.0,1.0
SITE-SUD,medium,230,208.75,20.0,75.0,0.24,0.0012,"[208.02, 209.5]",0.0,1.0
SITE-SUD,medium,230,208.75,50.0,30.0,0.09,0.0004,"[208.44, 209.03]",0.0,1.0
