equipment_id,timestamp,sensor_name,value,unit,period,provenance,procedure_id
EQ-COMP-233,2026-01-02 06:00:00+00:00,temperature_c,59.43,°C,2026-S1,réelle,
EQ-FAN-002,2026-01-02 06:00:00+00:00,vibration_mm_s,3.36,mm/s,2026-S1,réelle,
EQ-FAN-003,2026-01-02 06:00:00+00:00,vibration_mm_s,2.56,mm/s,2026-S1,réelle,
EQ-FAN-204,2026-01-02 06:00:00+00:00,vibration_mm_s,3.43,mm/s,2026-S1,réelle,
EQ-FAN-284,2026-01-02 06:00:00+00:00,vibration_mm_s,3.07,mm/s,2026-S1,réelle,
EQ-FAN-304,2026-01-02 06:00:00+00:00,vibration_mm_s,2.37,mm/s,2026-S1,réelle,
EQ-MIX-159,2026-01-02 06:00:00+00:00,vibration_mm_s,3.15,mm/s,2026-S1,réelle,
EQ-MIX-259,2026-01-02 06:00:00+00:00,vibration_mm_s,2.69,mm/s,2026-S1,réelle,
EQ-MIX-379,2026-01-02 06:00:00+00:00,vibration_mm_s,2.76,mm/s,2026-S1,réelle,
EQ-OVEN-001,2026-01-02 06:00:00+00:00,temperature_c,52.09,°C,2026-S1,réelle,
EQ-OVEN-123,2026-01-02 06:00:00+00:00,temperature_c,53.72,°C,2026-S1,réelle,
EQ-OVEN-223,2026-01-02 06:00:00+00:00,temperature_c,65.13,°C,2026-S1,réelle,
EQ-OVEN-366,2026-01-02 06:00:00+00:00,temperature_c,46.12,°C,2026-S1,réelle,
EQ-OVEN-386,2026-01-02 06:00:00+00:00,temperature_c,61.75,°C,2026-S1,réelle,
EQ-PUMP-001,2026-01-02 06:00:00+00:00,temperature_c,62.69,°C,2026-S1,réelle,
EQ-PUMP-006,2026-01-02 06:00:00+00:00,temperature_c,56.52,°C,2026-S1,réelle,
EQ-PUMP-006,2026-01-02 06:00:00+00:00,vibration_mm_s,2.85,mm/s,2026-S1,réelle,
EQ-PUMP-171,2026-01-02 06:00:00+00:00,temperature_c,63.83,°C,2026-S1,réelle,
EQ-PUMP-171,2026-01-02 06:00:00+00:00,vibration_mm_s,2.51,mm/s,2026-S1,réelle,
EQ-PUMP-350,2026-01-02 06:00:00+00:00,temperature_c,67.5,°C,2026-S1,réelle,
EQ-PUMP-350,2026-01-02 06:00:00+00:00,vibration_mm_s,2.73,mm/s,2026-S1,réelle,
EQ-ROBOT-358,2026-01-02 06:00:00+00:00,vibration_mm_s,2.93,mm/s,2026-S1,réelle,
EQ-SENSOR-305,2026-01-02 06:00:00+00:00,temperature_c,62.22,°C,2026-S1,réelle,
EQ-STEAM-341,2026-01-02 06:00:00+00:00,temperature_c,58.4,°C,2026-S1,réelle,
EQ-STEAM-352,2026-01-02 06:00:00+00:00,temperature_c,65.57,°C,2026-S1,réelle,
EQ-PUMP-001,2026-01-02 08:00:00+00:00,vibration_mm_s,2.85,mm/s,2026-S1,réelle,
EQ-CAB-134,2026-01-02 12:00:00+00:00,temperature_c,51.88,°C,2026-S1,réelle,
EQ-CHILL-001,2026-01-02 12:00:00+00:00,temperature_c,64.85,°C,2026-S1,réelle,
EQ-CHILL-115,2026-01-02 12:00:00+00:00,temperature_c,60.77,°C,2026-S1,réelle,
EQ-CHILL-168,2026-01-02 12:00:00+00:00,temperature_c,57.07,°C,2026-S1,réelle,
EQ-CHILL-188,2026-01-02 12:00:00+00:00,temperature_c,53.35,°C,2026-S1,réelle,
EQ-CHILL-248,2026-01-02 12:00:00+00:00,temperature_c,54.67,°C,2026-S1,réelle,
EQ-COMP-002,2026-01-02 12:00:00+00:00,temperature_c,56.42,°C,2026-S1,réelle,
EQ-COMP-113,2026-01-02 12:00:00+00:00,temperature_c,59.45,°C,2026-S1,réelle,
EQ-COMP-233,2026-01-02 12:00:00+00:00,temperature_c,55.51,°C,2026-S1,réelle,
EQ-FAN-002,2026-01-02 12:00:00+00:00,vibration_mm_s,2.94,mm/s,2026-S1,réelle,
EQ-FAN-003,2026-01-02 12:00:00+00:00,vibration_mm_s,3.05,mm/s,2026-S1,réelle,
EQ-FAN-204,2026-01-02 12:00:00+00:00,vibration_mm_s,3.13,mm/s,2026-S1,réelle,
EQ-FAN-284,2026-01-02 12:00:00+00:00,vibration_mm_s,3.1,mm/s,2026-S1,réelle,
EQ-FAN-304,2026-01-02 12:00:00+00:00,vibration_mm_s,3.35,mm/s,2026-S1,réelle,
EQ-MIX-159,2026-01-02 12:00:00+00:00,vibration_mm_s,3.0,mm/s,2026-S1,réelle,
EQ-MIX-259,2026-01-02 12:00:00+00:00,vibration_mm_s,2.8,mm/s,2026-S1,réelle,
EQ-MIX-379,2026-01-02 12:00:00+00:00,vibration_mm_s,2.6,mm/s,2026-S1,réelle,
EQ-OVEN-001,2026-01-02 12:00:00+00:00,temperature_c,44.84,°C,2026-S1,réelle,
EQ-OVEN-123,2026-01-02 12:00:00+00:00,temperature_c,60.88,°C,2026-S1,réelle,
EQ-OVEN-223,2026-01-02 12:00:00+00:00,temperature_c,62.12,°C,2026-S1,réelle,
EQ-OVEN-366,2026-01-02 12:00:00+00:00,temperature_c,53.57,°C,2026-S1,réelle,
EQ-OVEN-386,2026-01-02 12:00:00+00:00,temperature_c,67.97,°C,2026-S1,réelle,
EQ-PUMP-001,2026-01-02 12:00:00+00:00,temperature_c,53.76,°C,2026-S1,réelle,
EQ-PUMP-006,2026-01-02 12:00:00+00:00,temperature_c,56.72,°C,2026-S1,réelle,
EQ-PUMP-006,2026-01-02 12:00:00+00:00,vibration_mm_s,2.76,mm/s,2026-S1,réelle,
EQ-PUMP-171,2026-01-02 12:00:00+00:00,temperature_c,55.58,°C,2026-S1,réelle,
EQ-PUMP-171,2026-01-02 12:00:00+00:00,vibration_mm_s,3.29,mm/s,2026-S1,réelle,
EQ-PUMP-350,2026-01-02 12:00:00+00:00,temperature_c,62.56,°C,2026-S1,réelle,
EQ-PUMP-350,2026-01-02 12:00:00+00:00,vibration_mm_s,2.29,mm/s,2026-S1,réelle,
EQ-ROBOT-358,2026-01-02 12:00:00+00:00,vibration_mm_s,2.76,mm/s,2026-S1,réelle,
EQ-SENSOR-305,2026-01-02 12:00:00+00:00,temperature_c,57.72,°C,2026-S1,réelle,
EQ-STEAM-341,2026-01-02 12:00:00+00:00,temperature_c,55.74,°C,2026-S1,réelle,
EQ-STEAM-352,2026-01-02 12:00:00+00:00,temperature_c,54.82,°C,2026-S1,réelle,
EQ-PUMP-001,2026-01-02 14:00:00+00:00,vibration_mm_s,2.64,mm/s,2026-S1,réelle,
EQ-CAB-134,2026-01-02 18:00:00+00:00,temperature_c,55.33,°C,2026-S1,réelle,
EQ-CHILL-001,2026-01-02 18:00:00+00:00,temperature_c,57.22,°C,2026-S1,réelle,
EQ-CHILL-115,2026-01-02 18:00:00+00:00,temperature_c,57.41,°C,2026-S1,réelle,
EQ-CHILL-168,2026-01-02 18:00:00+00:00,temperature_c,58.29,°C,2026-S1,réelle,
EQ-CHILL-188,2026-01-02 18:00:00+00:00,temperature_c,61.54,°C,2026-S1,réelle,
EQ-CHILL-248,2026-01-02 18:00:00+00:00,temperature_c,56.88,°C,2026-S1,réelle,
EQ-COMP-002,2026-01-02 18:00:00+00:00,temperature_c,56.32,°C,2026-S1,réelle,
EQ-COMP-113,2026-01-02 18:00:00+00:00,temperature_c,59.42,°C,2026-S1,réelle,
EQ-COMP-233,2026-01-02 18:00:00+00:00,temperature_c,58.32,°C,2026-S1,réelle,
EQ-FAN-002,2026-01-02 18:00:00+00:00,vibration_mm_s,2.41,mm/s,2026-S1,réelle,
EQ-FAN-003,2026-01-02 18:00:00+00:00,vibration_mm_s,2.58,mm/s,2026-S1,réelle,
EQ-FAN-204,2026-01-02 18:00:00+00:00,vibration_mm_s,2.81,mm/s,2026-S1,réelle,
EQ-FAN-284,2026-01-02 18:00:00+00:00,vibration_mm_s,2.05,mm/s,2026-S1,réelle,
EQ-FAN-304,2026-01-02 18:00:00+00:00,vibration_mm_s,2.46,mm/s,2026-S1,réelle,
EQ-MIX-159,2026-01-02 18:00:00+00:00,vibration_mm_s,2.38,mm/s,2026-S1,réelle,
EQ-MIX-259,2026-01-02 18:00:00+00:00,vibration_mm_s,3.27,mm/s,2026-S1,réelle,
EQ-MIX-379,2026-01-02 18:00:00+00:00,vibration_mm_s,3.38,mm/s,2026-S1,réelle,
EQ-OVEN-001,2026-01-02 18:00:00+00:00,temperature_c,52.67,°C,2026-S1,réelle,
EQ-OVEN-123,2026-01-02 18:00:00+00:00,temperature_c,62.27,°C,2026-S1,réelle,
EQ-OVEN-223,2026-01-02 18:00:00+00:00,temperature_c,60.24,°C,2026-S1,réelle,
EQ-OVEN-366,2026-01-02 18:00:00+00:00,temperature_c,55.8,°C,2026-S1,réelle,
EQ-OVEN-386,2026-01-02 18:00:00+00:00,temperature_c,63.18,°C,2026-S1,réelle,
EQ-PUMP-001,2026-01-02 18:00:00+00:00,temperature_c,55.21,°C,2026-S1,réelle,
EQ-PUMP-006,2026-01-02 18:00:00+00:00,temperature_c,51.98,°C,2026-S1,réelle,
EQ-PUMP-006,2026-01-02 18:00:00+00:00,vibration_mm_s,3.4,mm/s,2026-S1,réelle,
EQ-PUMP-171,2026-01-02 18:00:00+00:00,temperature_c,58.49,°C,2026-S1,réelle,
EQ-PUMP-171,2026-01-02 18:00:00+00:00,vibration_mm_s,3.05,mm/s,2026-S1,réelle,
EQ-PUMP-350,2026-01-02 18:00:00+00:00,temperature_c,55.88,°C,2026-S1,réelle,
EQ-PUMP-350,2026-01-02 18:00:00+00:00,vibration_mm_s,2.83,mm/s,2026-S1,réelle,
EQ-ROBOT-358,2026-01-02 18:00:00+00:00,vibration_mm_s,2.39,mm/s,2026-S1,réelle,
EQ-SENSOR-305,2026-01-02 18:00:00+00:00,temperature_c,51.85,°C,2026-S1,réelle,
EQ-STEAM-341,2026-01-02 18:00:00+00:00,temperature_c,53.08,°C,2026-S1,réelle,
EQ-STEAM-352,2026-01-02 18:00:00+00:00,temperature_c,55.83,°C,2026-S1,réelle,
EQ-PUMP-001,2026-01-02 20:00:00+00:00,vibration_mm_s,2.48,mm/s,2026-S1,réelle,
EQ-CAB-134,2026-01-03 00:00:00+00:00,temperature_c,56.75,°C,2026-S1,réelle,
EQ-CHILL-001,2026-01-03 00:00:00+00:00,temperature_c,53.95,°C,2026-S1,réelle,
EQ-CHILL-115,2026-01-03 00:00:00+00:00,temperature_c,56.06,°C,2026-S1,réelle,
EQ-CHILL-168,2026-01-03 00:00:00+00:00,temperature_c,59.89,°C,2026-S1,réelle,
EQ-CHILL-188,2026-01-03 00:00:00+00:00,temperature_c,60.08,°C,2026-S1,réelle,
EQ-CHILL-248,2026-01-03 00:00:00+00:00,temperature_c,48.68,°C,2026-S1,réelle,
EQ-COMP-002,2026-01-03 00:00:00+00:00,temperature_c,62.09,°C,2026-S1,réelle,
EQ-COMP-113,2026-01-03 00:00:00+00:00,temperature_c,64.8,°C,2026-S1,réelle,
EQ-COMP-233,2026-01-03 00:00:00+00:00,temperature_c,64.18,°C,2026-S1,réelle,
EQ-FAN-002,2026-01-03 00:00:00+00:00,vibration_mm_s,3.08,mm/s,2026-S1,réelle,
EQ-FAN-003,2026-01-03 00:00:00+00:00,vibration_mm_s,2.66,mm/s,2026-S1,réelle,
EQ-FAN-204,2026-01-03 00:00:00+00:00,vibration_mm_s,2.63,mm/s,2026-S1,réelle,
EQ-FAN-284,2026-01-03 00:00:00+00:00,vibration_mm_s,2.32,mm/s,2026-S1,réelle,
EQ-FAN-304,2026-01-03 00:00:00+00:00,vibration_mm_s,2.2,mm/s,2026-S1,réelle,
EQ-MIX-159,2026-01-03 00:00:00+00:00,vibration_mm_s,2.34,mm/s,2026-S1,réelle,
EQ-MIX-259,2026-01-03 00:00:00+00:00,vibration_mm_s,2.0,mm/s,2026-S1,réelle,
EQ-MIX-379,2026-01-03 00:00:00+00:00,vibration_mm_s,2.69,mm/s,2026-S1,réelle,
EQ-OVEN-001,2026-01-03 00:00:00+00:00,temperature_c,52.71,°C,2026-S1,réelle,
EQ-OVEN-123,2026-01-03 00:00:00+00:00,temperature_c,55.0,°C,2026-S1,réelle,
EQ-OVEN-223,2026-01-03 00:00:00+00:00,temperature_c,58.21,°C,2026-S1,réelle,
EQ-OVEN-366,2026-01-03 00:00:00+00:00,temperature_c,48.15,°C,2026-S1,réelle,
EQ-OVEN-386,2026-01-03 00:00:00+00:00,temperature_c,56.22,°C,2026-S1,réelle,
EQ-PUMP-001,2026-01-03 00:00:00+00:00,temperature_c,61.7,°C,2026-S1,réelle,
EQ-PUMP-006,2026-01-03 00:00:00+00:00,temperature_c,51.85,°C,2026-S1,réelle,
EQ-PUMP-006,2026-01-03 00:00:00+00:00,vibration_mm_s,3.61,mm/s,2026-S1,réelle,
EQ-PUMP-171,2026-01-03 00:00:00+00:00,temperature_c,63.93,°C,2026-S1,réelle,
EQ-PUMP-171,2026-01-03 00:00:00+00:00,vibration_mm_s,2.57,mm/s,2026-S1,réelle,
EQ-PUMP-350,2026-01-03 00:00:00+00:00,temperature_c,59.6,°C,2026-S1,réelle,
EQ-PUMP-350,2026-01-03 00:00:00+00:00,vibration_mm_s,2.98,mm/s,2026-S1,réelle,
EQ-ROBOT-358,2026-01-03 00:00:00+00:00,vibration_mm_s,2.41,mm/s,2026-S1,réelle,
EQ-SENSOR-305,2026-01-03 00:00:00+00:00,temperature_c,54.39,°C,2026-S1,réelle,
EQ-STEAM-341,2026-01-03 00:00:00+00:00,temperature_c,49.79,°C,2026-S1,réelle,
EQ-STEAM-352,2026-01-03 00:00:00+00:00,temperature_c,61.26,°C,2026-S1,réelle,
EQ-PUMP-001,2026-01-03 02:00:00+00:00,vibration_mm_s,2.43,mm/s,2026-S1,réelle,
EQ-CAB-134,2026-01-03 06:00:00+00:00,temperature_c,52.33,°C,2026-S1,réelle,
EQ-CHILL-001,2026-01-03 06:00:00+00:00,temperature_c,61.0,°C,2026-S1,réelle,
EQ-CHILL-115,2026-01-03 06:00:00+00:00,temperature_c,62.14,°C,2026-S1,réelle,
EQ-CHILL-168,2026-01-03 06:00:00+00:00,temperature_c,58.8,°C,2026-S1,réelle,
EQ-CHILL-188,2026-01-03 06:00:00+00:00,temperature_c,55.39,°C,2026-S1,réelle,
EQ-CHILL-248,2026-01-03 06:00:00+00:00,temperature_c,49.69,°C,2026-S1,réelle,
EQ-COMP-002,2026-01-03 06:00:00+00:00,temperature_c,59.41,°C,2026-S1,réelle,
EQ-COMP-113,2026-01-03 06:00:00+00:00,temperature_c,60.24,°C,2026-S1,réelle,
EQ-COMP-233,2026-01-03 06:00:00+00:00,temperature_c,55.86,°C,2026-S1,réelle,
EQ-FAN-002,2026-01-03 06:00:00+00:00,vibration_mm_s,3.48,mm/s,2026-S1,réelle,
EQ-FAN-003,2026-01-03 06:00:00+00:00,vibration_mm_s,2.81,mm/s,2026-S1,réelle,
EQ-FAN-204,2026-01-03 06:00:00+00:00,vibration_mm_s,2.95,mm/s,2026-S1,réelle,
EQ-FAN-284,2026-01-03 06:00:00+00:00,vibration_mm_s,2.62,mm/s,2026-S1,réelle,
EQ-FAN-304,2026-01-03 06:00:00+00:00,vibration_mm_s,2.37,mm/s,2026-S1,réelle,
EQ-MIX-159,2026-01-03 06:00:00+00:00,vibration_mm_s,3.05,mm/s,2026-S1,réelle,
EQ-MIX-259,2026-01-03 06:00:00+00:00,vibration_mm_s,2.05,mm/s,2026-S1,réelle,
EQ-MIX-379,2026-01-03 06:00:00+00:00,vibration_mm_s,2.66,mm/s,2026-S1,réelle,
EQ-OVEN-001,2026-01-03 06:00:00+00:00,temperature_c,48.17,°C,2026-S1,réelle,
EQ-OVEN-123,2026-01-03 06:00:00+00:00,temperature_c,51.85,°C,2026-S1,réelle,
EQ-OVEN-223,2026-01-03 06:00:00+00:00,temperature_c,66.24,°C,2026-S1,réelle,
EQ-OVEN-366,2026-01-03 06:00:00+00:00,temperature_c,46.25,°C,2026-S1,réelle,
EQ-OVEN-386,2026-01-03 06:00:00+00:00,temperature_c,60.16,°C,2026-S1,réelle,
EQ-PUMP-001,2026-01-03 06:00:00+00:00,temperature_c,61.54,°C,2026-S1,réelle,
EQ-PUMP-006,2026-01-03 06:00:00+00:00,temperature_c,56.57,°C,2026-S1,réelle,
EQ-PUMP-006,2026-01-03 06:00:00+00:00,vibration_mm_s,2.66,mm/s,2026-S1,réelle,
EQ-PUMP-171,2026-01-03 06:00:00+00:00,temperature_c,63.0,°C,2026-S1,réelle,
EQ-PUMP-171,2026-01-03 06:00:00+00:00,vibration_mm_s,2.69,mm/s,2026-S1,réelle,
EQ-PUMP-350,2026-01-03 06:00:00+00:00,temperature_c,66.68,°C,2026-S1,réelle,
EQ-PUMP-350,2026-01-03 06:00:00+00:00,vibration_mm_s,3.06,mm/s,2026-S1,réelle,
EQ-ROBOT-358,2026-01-03 06:00:00+00:00,vibration_mm_s,2.78,mm/s,2026-S1,réelle,
EQ-SENSOR-305,2026-01-03 06:00:00+00:00,temperature_c,58.3,°C,2026-S1,réelle,
EQ-STEAM-341,2026-01-03 06:00:00+00:00,temperature_c,54.29,°C,2026-S1,réelle,
EQ-STEAM-352,2026-01-03 06:00:00+00:00,temperature_c,61.29,°C,2026-S1,réelle,
EQ-PUMP-001,2026-01-03 08:00:00+00:00,vibration_mm_s,3.2,mm/s,2026-S1,réelle,
EQ-CAB-134,2026-01-03 12:00:00+00:00,temperature_c,50.96,°C,2026-S1,réelle,
EQ-CHILL-001,2026-01-03 12:00:00+00:00,temperature_c,60.06,°C,2026-S1,réelle,
EQ-CHILL-115,2026-01-03 12:00:00+00:00,temperature_c,61.72,°C,2026-S1,réelle,
EQ-CHILL-168,2026-01-03 12:00:00+00:00,temperature_c,53.91,°C,2026-S1,réelle,
EQ-CHILL-188,2026-01-03 12:00:00+00:00,temperature_c,51.83,°C,2026-S1,réelle,
EQ-CHILL-248,2026-01-03 12:00:00+00:00,temperature_c,50.73,°C,2026-S1,réelle,
EQ-COMP-002,2026-01-03 12:00:00+00:00,temperature_c,54.28,°C,2026-S1,réelle,
EQ-COMP-113,2026-01-03 12:00:00+00:00,temperature_c,57.86,°C,2026-S1,réelle,
EQ-COMP-233,2026-01-03 12:00:00+00:00,temperature_c,53.5,°C,2026-S1,réelle,
EQ-FAN-002,2026-01-03 12:00:00+00:00,vibration_mm_s,2.85,mm/s,2026-S1,réelle,
EQ-FAN-003,2026-01-03 12:00:00+00:00,vibration_mm_s,3.0,mm/s,2026-S1,réelle,
EQ-FAN-204,2026-01-03 12:00:00+00:00,vibration_mm_s,3.29,mm/s,2026-S1,réelle,
EQ-FAN-284,2026-01-03 12:00:00+00:00,vibration_mm_s,2.82,mm/s,2026-S1,réelle,
EQ-FAN-304,2026-01-03 12:00:00+00:00,vibration_mm_s,2.77,mm/s,2026-S1,réelle,
EQ-MIX-159,2026-01-03 12:00:00+00:00,vibration_mm_s,2.67,mm/s,2026-S1,réelle,
EQ-MIX-259,2026-01-03 12:00:00+00:00,vibration_mm_s,2.64,mm/s,2026-S1,réelle,
EQ-MIX-379,2026-01-03 12:00:00+00:00,vibration_mm_s,2.77,mm/s,2026-S1,réelle,
EQ-OVEN-001,2026-01-03 12:00:00+00:00,temperature_c,42.34,°C,2026-S1,réelle,
EQ-OVEN-123,2026-01-03 12:00:00+00:00,temperature_c,62.99,°C,2026-S1,réelle,
EQ-OVEN-223,2026-01-03 12:00:00+00:00,temperature_c,63.94,°C,2026-S1,réelle,
EQ-OVEN-366,2026-01-03 12:00:00+00:00,temperature_c,51.32,°C,2026-S1,réelle,
EQ-OVEN-386,2026-01-03 12:00:00+00:00,temperature_c,67.91,°C,2026-S1,réelle,
EQ-PUMP-001,2026-01-03 12:00:00+00:00,temperature_c,56.1,°C,2026-S1,réelle,
EQ-PUMP-006,2026-01-03 12:00:00+00:00,temperature_c,55.67,°C,2026-S1,réelle,
EQ-PUMP-006,2026-01-03 12:00:00+00:00,vibration_mm_s,2.86,mm/s,2026-S1,réelle,
EQ-PUMP-171,2026-01-03 12:00:00+00:00,temperature_c,57.06,°C,2026-S1,réelle,
EQ-PUMP-171,2026-01-03 12:00:00+00:00,vibration_mm_s,3.29,mm/s,2026-S1,réelle,
EQ-PUMP-350,2026-01-03 12:00:00+00:00,temperature_c,61.78,°C,2026-S1,réelle,
EQ-PUMP-350,2026-01-03 12:00:00+00:00,vibration_mm_s,2.48,mm/s,2026-S1,réelle,
EQ-ROBOT-358,2026-01-03 12:00:00+00:00,vibration_mm_s,2.58,mm/s,2026-S1,réelle,
EQ-SENSOR-305,2026-01-03 12:00:00+00:00,temperature_c,54.16,°C,2026-S1,réelle,
EQ-STEAM-341,2026-01-03 12:00:00+00:00,temperature_c,56.52,°C,2026-S1,réelle,
EQ-STEAM-352,2026-01-03 12:00:00+00:00,temperature_c,54.07,°C,2026-S1,réelle,
EQ-PUMP-001,2026-01-03 14:00:00+00:00,vibration_mm_s,2.49,mm/s,2026-S1,réelle,
EQ-CAB-134,2026-01-03 18:00:00+00:00,temperature_c,54.01,°C,2026-S1,réelle,
EQ-CHILL-001,2026-01-03 18:00:00+00:00,temperature_c,50.6,°C,2026-S1,réelle,
EQ-CHILL-115,2026-01-03 18:00:00+00:00,temperature_c,54.3,°C,2026-S1,réelle,
EQ-CHILL-168,2026-01-03 18:00:00+00:00,temperature_c,57.75,°C,2026-S1,réelle,
EQ-CHILL-188,2026-01-03 18:00:00+00:00,temperature_c,59.71,°C,2026-S1,réelle,
EQ-CHILL-248,2026-01-03 18:00:00+00:00,temperature_c,58.96,°C,2026-S1,réelle,
EQ-COMP-002,2026-01-03 18:00:00+00:00,temperature_c,54.99,°C,2026-S1,réelle,
EQ-COMP-113,2026-01-03 18:00:00+00:00,temperature_c,58.95,°C,2026-S1,réelle,
EQ-COMP-233,2026-01-03 18:00:00+00:00,temperature_c,55.82,°C,2026-S1,réelle,
EQ-FAN-002,2026-01-03 18:00:00+00:00,vibration_mm_s,2.84,mm/s,2026-S1,réelle,
EQ-FAN-003,2026-01-03 18:00:00+00:00,vibration_mm_s,2.74,mm/s,2026-S1,réelle,
EQ-FAN-204,2026-01-03 18:00:00+00:00,vibration_mm_s,2.8,mm/s,2026-S1,réelle,
EQ-FAN-284,2026-01-03 18:00:00+00:00,vibration_mm_s,2.24,mm/s,2026-S1,réelle,
EQ-FAN-304,2026-01-03 18:00:00+00:00,vibration_mm_s,2.48,mm/s,2026-S1,réelle,
EQ-MIX-159,2026-01-03 18:00:00+00:00,vibration_mm_s,2.77,mm/s,2026-S1,réelle,
EQ-MIX-259,2026-01-03 18:00:00+00:00,vibration_mm_s,2.71,mm/s,2026-S1,réelle,
EQ-MIX-379,2026-01-03 18:00:00+00:00,vibration_mm_s,3.12,mm/s,2026-S1,réelle,
EQ-OVEN-001,2026-01-03 18:00:00+00:00,temperature_c,48.92,°C,2026-S1,réelle,
EQ-OVEN-123,2026-01-03 18:00:00+00:00,temperature_c,61.11,°C,2026-S1,réelle,
EQ-OVEN-223,2026-01-03 18:00:00+00:00,temperature_c,59.47,°C,2026-S1,réelle,
EQ-OVEN-366,2026-01-03 18:00:00+00:00,temperature_c,52.35,°C,2026-S1,réelle,
