equipment_id,equipment_type,site_id,criticality,criticite_ordinale,puissance_kw,age_annees,n_evenements,n_evenements_graves,n_interventions,indisponibilite_min,cout_pieces_eur,n_correctives,part_correctives,instrumente,segment
EQ-CHILL-268,chiller,SITE-SUD,medium,1.0,66.4,13.29,0.0,0.0,0.0,0.0,0.0,0,0.0,False,SEG-INACTIF
EQ-CHILL-288,chiller,SITE-NORD,medium,1.0,84.0,18.76,2.0,1.0,4.0,564.0,659.9,1,0.25,False,SEG-1
EQ-CHILL-308,chiller,SITE-SUD,medium,1.0,64.5,8.19,1.0,1.0,3.0,517.0,954.3599999999999,0,0.0,False,SEG-2
EQ-CHILL-328,chiller,SITE-NORD,high,2.0,46.9,4.58,1.0,1.0,2.0,305.0,786.81,1,0.5,False,SEG-2
EQ-CHILL-348,chiller,SITE-NORD,medium,1.0,52.5,17.21,1.0,1.0,4.0,727.0,1472.42,1,0.25,False,SEG-1
EQ-CHILL-368,chiller,SITE-EST,medium,1.0,48.2,4.9,1.0,1.0,6.0,1074.0,1959.44,1,0.1667,False,SEG-1
EQ-CHILL-371,chiller,SITE-EST,medium,1.0,72.7,7.2,1.0,1.0,0.0,0.0,0.0,0,0.0,False,SEG-INACTIF
EQ-CHILL-382,chiller,SITE-SUD,high,2.0,38.6,7.44,1.0,1.0,3.0,503.0,380.27,1,0.3333,False,SEG-2
EQ-CHILL-388,chiller,SITE-SUD,medium,1.0,62.7,18.19,0.0,0.0,0.0,0.0,0.0,0,0.0,False,SEG-INACTIF
EQ-CHILL-393,chiller,SITE-SUD,medium,1.0,67.2,5.87,2.0,1.0,10.0,1234.0,1886.15,2,0.2,False,SEG-1
EQ-COMP-001,compressor,SITE-EST,medium,1.0,69.0,12.4,2.0,1.0,10.0,1310.0,1783.04,1,0.1,False,SEG-1
EQ-COMP-002,compressor,SITE-NORD,high,2.0,93.2,18.5,4.0,2.0,10.0,1556.0,1769.6,0,0.0,True,SEG-1
EQ-COMP-003,compressor,SITE-NORD,medium,1.0,93.5,13.49,1.0,1.0,3.0,620.0,534.5899999999999,0,0.0,False,SEG-2
EQ-COMP-107,compressor,SITE-SUD,medium,1.0,105.3,18.6,1.0,0.0,4.0,418.0,416.13,0,0.0,False,SEG-2
EQ-COMP-109,compressor,SITE-EST,medium,1.0,93.3,12.17,1.0,1.0,1.0,153.0,211.92,0,0.0,False,SEG-2
EQ-COMP-113,compressor,SITE-SUD,critical,3.0,92.3,10.33,2.0,2.0,6.0,1014.0,1644.83,0,0.0,True,SEG-1
EQ-COMP-118,compressor,SITE-NORD,high,2.0,80.5,2.67,1.0,0.0,2.0,315.0,503.91999999999996,0,0.0,False,SEG-2
EQ-COMP-129,compressor,SITE-SUD,low,0.0,97.2,13.72,2.0,1.0,3.0,443.0,132.32,1,0.3333,False,SEG-2
EQ-COMP-133,compressor,SITE-SUD,medium,1.0,84.7,17.43,0.0,0.0,0.0,0.0,0.0,0,0.0,False,SEG-INACTIF
EQ-COMP-140,compressor,SITE-OUEST,critical,3.0,95.4,19.15,2.0,1.0,5.0,647.0,618.61,1,0.2,False,SEG-1
EQ-COMP-149,compressor,SITE-OUEST,medium,1.0,77.7,9.35,2.0,2.0,10.0,1939.0,1804.07,3,0.3,False,SEG-1
EQ-COMP-153,compressor,SITE-SUD,low,0.0,121.0,1.69,1.0,1.0,1.0,284.0,62.19,0,0.0,False,SEG-2
EQ-COMP-169,compressor,SITE-NORD,high,2.0,59.0,11.14,1.0,1.0,5.0,714.0,772.0500000000001,2,0.4,False,SEG-1
EQ-COMP-173,compressor,SITE-EST,high,2.0,100.8,18.42,1.0,1.0,6.0,1114.0,1798.48,0,0.0,False,SEG-1
EQ-COMP-189,compressor,SITE-OUEST,critical,3.0,105.9,5.23,1.0,1.0,1.0,201.0,194.72,0,0.0,False,SEG-2
EQ-COMP-193,compressor,SITE-SUD,low,0.0,83.1,16.41,0.0,0.0,0.0,0.0,0.0,0,0.0,False,SEG-INACTIF
EQ-COMP-209,compressor,SITE-EST,critical,3.0,75.7,13.72,1.0,1.0,3.0,499.0,902.14,1,0.3333,False,SEG-2
EQ-COMP-213,compressor,SITE-NORD,high,2.0,80.1,4.34,1.0,1.0,3.0,451.0,530.0899999999999,2,0.6667,False,SEG-2
EQ-COMP-229,compressor,SITE-EST,medium,1.0,77.8,13.6,1.0,1.0,4.0,590.0,806.05,2,0.5,False,SEG-1
EQ-COMP-233,compressor,SITE-NORD,medium,1.0,118.6,16.53,3.0,2.0,8.0,1045.0,2181.77,5,0.625,True,SEG-1
EQ-COMP-249,compressor,SITE-NORD,high,2.0,77.1,2.6,2.0,1.0,8.0,1227.0,1266.84,3,0.375,True,SEG-1
EQ-COMP-253,compressor,SITE-EST,high,2.0,101.8,3.93,0.0,0.0,0.0,0.0,0.0,0,0.0,False,SEG-INACTIF
EQ-COMP-269,compressor,SITE-SUD,medium,1.0,94.8,7.18,1.0,1.0,4.0,717.0,645.6,1,0.25,False,SEG-1
EQ-COMP-273,compressor,SITE-SUD,low,0.0,102.3,4.38,2.0,2.0,5.0,958.0,803.72,2,0.4,False,SEG-1
EQ-COMP-289,compressor,SITE-NORD,low,0.0,60.9,13.88,2.0,2.0,6.0,1107.0,1820.11,2,0.3333,False,SEG-1
EQ-COMP-293,compressor,SITE-SUD,critical,3.0,119.9,20.28,1.0,1.0,8.0,1442.0,2054.69,1,0.125,False,SEG-1
EQ-COMP-309,compressor,SITE-NORD,high,2.0,93.8,17.08,1.0,1.0,4.0,778.0,1058.14,0,0.0,False,SEG-1
EQ-COMP-313,compressor,SITE-NORD,medium,1.0,99.1,13.64,0.0,0.0,0.0,0.0,0.0,0,0.0,False,SEG-INACTIF
EQ-COMP-329,compressor,SITE-SUD,medium,1.0,87.0,4.14,1.0,1.0,1.0,205.0,64.41,1,1.0,False,SEG-2
EQ-COMP-333,compressor,SITE-NORD,low,0.0,109.8,3.96,1.0,1.0,4.0,868.0,1044.36,1,0.25,False,SEG-1
EQ-COMP-349,compressor,SITE-SUD,high,2.0,83.2,10.18,1.0,1.0,1.0,238.0,122.78,0,0.0,False,SEG-2
EQ-COMP-353,compressor,SITE-NORD,high,2.0,74.4,2.26,1.0,1.0,3.0,610.0,810.99,1,0.3333,False,SEG-2
EQ-COMP-369,compressor,SITE-SUD,medium,1.0,100.8,15.05,2.0,2.0,7.0,1249.0,1928.18,1,0.1429,False,SEG-1
EQ-COMP-373,compressor,SITE-NORD,high,2.0,101.6,17.19,0.0,0.0,0.0,0.0,0.0,0,0.0,False,SEG-INACTIF
EQ-COMP-389,compressor,SITE-NORD,low,0.0,79.6,15.23,1.0,1.0,3.0,499.0,773.15,0,0.0,False,SEG-2
EQ-COMP-393,compressor,SITE-EST,medium,1.0,115.2,5.57,1.0,1.0,1.0,114.0,242.54,1,1.0,False,SEG-2
EQ-COMP-396,compressor,SITE-NORD,critical,3.0,91.8,16.35,2.0,0.0,8.0,711.0,944.99,0,0.0,True,SEG-1
EQ-CONV-001,conveyor,SITE-SUD,high,2.0,75.4,14.95,1.0,0.0,2.0,253.0,56.83,0,0.0,False,SEG-2
EQ-CONV-002,conveyor,SITE-NORD,medium,1.0,64.3,15.0,1.0,1.0,4.0,728.0,941.1099999999999,0,0.0,False,SEG-1
EQ-CONV-003,conveyor,SITE-NORD,medium,1.0,85.0,15.24,3.0,1.0,18.0,3069.0,3026.04,6,0.3333,True,SEG-1
EQ-CONV-004,conveyor,SITE-SUD,medium,1.0,67.1,11.53,1.0,1.0,2.0,515.0,718.22,0,0.0,False,SEG-2
EQ-CONV-005,conveyor,SITE-NORD,medium,1.0,54.6,20.4,1.0,0.0,4.0,397.0,302.53000000000003,1,0.25,False,SEG-2
EQ-CONV-102,conveyor,SITE-OUEST,medium,1.0,74.2,20.34,3.0,1.0,10.0,1364.0,659.6600000000001,2,0.2,False,SEG-1
EQ-CONV-116,conveyor,SITE-NORD,medium,1.0,82.2,11.72,2.0,2.0,7.0,1282.0,1873.99,0,0.0,False,SEG-1
EQ-CONV-122,conveyor,SITE-EST,low,0.0,66.7,5.47,1.0,0.0,2.0,236.0,440.2,1,0.5,False,SEG-2
EQ-CONV-126,conveyor,SITE-NORD,medium,1.0,67.5,2.48,1.0,1.0,2.0,347.0,298.27,1,0.5,False,SEG-2
EQ-CONV-136,conveyor,SITE-SUD,low,0.0,33.7,3.4,1.0,1.0,6.0,973.0,1934.08,2,0.3333,False,SEG-1
EQ-CONV-137,conveyor,SITE-SUD,high,2.0,28.2,11.74,1.0,1.0,5.0,911.0,1155.77,1,0.2,False,SEG-1
EQ-CONV-142,conveyor,SITE-EST,low,0.0,57.6,5.97,2.0,0.0,7.0,366.0,531.3399999999999,0,0.0,False,SEG-1
EQ-CONV-148,conveyor,SITE-SUD,medium,1.0,58.9,19.65,1.0,1.0,3.0,440.0,612.63,0,0.0,False,SEG-2
EQ-CONV-156,conveyor,SITE-NORD,high,2.0,95.2,5.58,1.0,1.0,3.0,569.0,417.38,1,0.3333,False,SEG-2
EQ-CONV-159,conveyor,SITE-EST,low,0.0,50.5,7.13,1.0,1.0,3.0,435.0,615.73,0,0.0,False,SEG-2
EQ-CONV-162,conveyor,SITE-SUD,medium,1.0,36.8,18.1,1.0,0.0,4.0,418.0,344.68,2,0.5,False,SEG-2
EQ-CONV-170,conveyor,SITE-NORD,medium,1.0,32.7,14.96,1.0,1.0,1.0,210.0,194.11,0,0.0,False,SEG-2
EQ-CONV-176,conveyor,SITE-EST,medium,1.0,48.9,10.41,1.0,1.0,5.0,888.0,687.61,0,0.0,False,SEG-1
EQ-CONV-182,conveyor,SITE-EST,low,0.0,44.6,4.52,2.0,0.0,7.0,676.0,1174.47,2,0.2857,False,SEG-1
EQ-CONV-196,conveyor,SITE-SUD,high,2.0,49.4,18.36,1.0,1.0,1.0,130.0,51.88,0,0.0,False,SEG-2
EQ-CONV-202,conveyor,SITE-NORD,low,0.0,56.9,19.01,1.0,0.0,5.0,364.0,296.51,0,0.0,False,SEG-2
EQ-CONV-216,conveyor,SITE-NORD,low,0.0,65.7,15.32,1.0,1.0,0.0,0.0,0.0,0,0.0,False,SEG-INACTIF
EQ-CONV-222,conveyor,SITE-SUD,low,0.0,36.8,12.01,1.0,0.0,1.0,57.0,530.43,0,0.0,False,SEG-2
EQ-CONV-236,conveyor,SITE-NORD,medium,1.0,48.3,7.06,1.0,1.0,7.0,1399.0,2090.38,0,0.0,False,SEG-1
EQ-CONV-242,conveyor,SITE-EST,medium,1.0,73.0,13.41,1.0,0.0,4.0,598.0,477.14,1,0.25,False,SEG-2
EQ-CONV-256,conveyor,SITE-SUD,medium,1.0,44.6,17.08,2.0,2.0,8.0,1530.0,1969.43,4,0.5,False,SEG-1
EQ-CONV-262,conveyor,SITE-NORD,high,2.0,74.0,11.82,2.0,0.0,4.0,432.0,439.73,1,0.25,True,SEG-2
EQ-CONV-276,conveyor,SITE-SUD,medium,1.0,66.8,13.63,1.0,1.0,2.0,408.0,260.04,0,0.0,False,SEG-2
EQ-CONV-282,conveyor,SITE-OUEST,medium,1.0,62.9,8.77,2.0,0.0,8.0,707.0,633.85,0,0.0,False,SEG-1
EQ-CONV-296,conveyor,SITE-NORD,critical,3.0,38.7,7.12,1.0,1.0,4.0,763.0,1125.99,0,0.0,False,SEG-1
EQ-CONV-302,conveyor,SITE-SUD,high,2.0,67.4,3.2,1.0,0.0,4.0,425.0,350.93,0,0.0,False,SEG-2
EQ-CONV-316,conveyor,SITE-NORD,medium,1.0,69.0,12.56,1.0,1.0,2.0,351.0,422.72,1,0.5,False,SEG-2
EQ-CONV-322,conveyor,SITE-NORD,medium,1.0,90.8,2.57,0.0,0.0,0.0,0.0,0.0,0,0.0,False,SEG-INACTIF
EQ-CONV-336,conveyor,SITE-NORD,critical,3.0,47.5,19.12,2.0,2.0,6.0,939.0,1517.96,1,0.1667,True,SEG-1
EQ-CONV-342,conveyor,SITE-NORD,low,0.0,39.3,16.5,1.0,0.0,4.0,473.0,528.54,1,0.25,False,SEG-2
EQ-CONV-356,conveyor,SITE-NORD,high,2.0,66.8,15.12,1.0,1.0,5.0,846.0,969.35,0,0.0,False,SEG-1
EQ-CONV-362,conveyor,SITE-EST,medium,1.0,35.7,7.09,2.0,0.0,6.0,551.0,1564.28,2,0.3333,False,SEG-1
EQ-CONV-376,conveyor,SITE-SUD,high,2.0,60.7,18.42,2.0,1.0,6.0,1019.0,950.09,1,0.1667,True,SEG-1
EQ-CONV-382,conveyor,SITE-NORD,medium,1.0,59.3,6.06,1.0,0.0,6.0,482.0,716.0,1,0.1667,False,SEG-2
EQ-CONV-396,conveyor,SITE-NORD,high,2.0,24.1,12.96,1.0,1.0,6.0,1148.0,1162.92,1,0.1667,False,SEG-1
EQ-DRYER-231,dryer,SITE-EST,high,2.0,39.8,16.88,1.0,0.0,4.0,483.0,676.5699999999999,1,0.25,False,SEG-2
EQ-DRYER-242,dryer,SITE-EST,low,0.0,51.5,13.14,1.0,0.0,2.0,259.0,90.1,1,0.5,False,SEG-2
EQ-DRYER-253,dryer,SITE-NORD,high,2.0,63.0,9.77,1.0,0.0,2.0,193.0,98.02,0,0.0,False,SEG-2
EQ-DRYER-264,dryer,SITE-OUEST,high,2.0,66.8,12.45,1.0,0.0,5.0,506.0,314.39,2,0.4,False,SEG-2
EQ-DRYER-275,dryer,SITE-SUD,low,0.0,44.5,12.14,1.0,0.0,2.0,211.0,618.63,0,0.0,False,SEG-2
EQ-FAN-001,fan,SITE-EST,medium,1.0,31.2,14.75,2.0,1.0,8.0,930.0,2038.4,0,0.0,False,SEG-1
EQ-FAN-002,fan,SITE-EST,high,2.0,37.7,10.09,2.0,0.0,5.0,561.0,709.3399999999999,0,0.0,True,SEG-1
EQ-FAN-003,fan,SITE-NORD,critical,3.0,35.1,15.51,1.0,0.0,2.0,86.0,44.44,0,0.0,True,SEG-2
EQ-FAN-004,fan,SITE-SUD,low,0.0,43.9,6.12,1.0,1.0,2.0,517.0,1117.02,1,0.5,False,SEG-2
EQ-FAN-100,fan,SITE-NORD,medium,1.0,44.4,19.67,1.0,0.0,3.0,169.0,198.82999999999998,0,0.0,False,SEG-2
EQ-FAN-104,fan,SITE-OUEST,low,0.0,62.1,9.75,1.0,1.0,3.0,810.0,735.27,2,0.6667,False,SEG-2
EQ-FAN-120,fan,SITE-OUEST,high,2.0,66.6,19.68,1.0,0.0,8.0,419.0,520.42,1,0.125,False,SEG-2
EQ-FAN-124,fan,SITE-OUEST,medium,1.0,67.2,16.73,2.0,2.0,7.0,1900.0,2240.89,2,0.2857,False,SEG-1
EQ-FAN-140,fan,SITE-SUD,medium,1.0,90.1,3.95,2.0,1.0,3.0,188.0,56.1,0,0.0,False,SEG-2
EQ-FAN-144,fan,SITE-EST,medium,1.0,67.2,8.03,2.0,1.0,5.0,665.0,1034.45,2,0.4,False,SEG-1
EQ-FAN-160,fan,SITE-EST,low,0.0,46.2,14.81,2.0,0.0,8.0,466.0,735.02,0,0.0,False,SEG-1
EQ-FAN-164,fan,SITE-SUD,high,2.0,78.8,18.13,1.0,1.0,7.0,1982.0,3604.0299999999997,1,0.1429,False,SEG-1
EQ-FAN-180,fan,SITE-EST,high,2.0,78.9,12.54,1.0,0.0,4.0,382.0,110.86,1,0.25,False,SEG-2
EQ-FAN-184,fan,SITE-SUD,low,0.0,81.7,17.89,1.0,1.0,6.0,1593.0,2617.85,0,0.0,False,SEG-1
EQ-FAN-200,fan,SITE-EST,low,0.0,56.5,10.6,2.0,0.0,12.0,805.0,822.7499999999999,1,0.0833,False,SEG-1
EQ-FAN-204,fan,SITE-EST,critical,3.0,56.7,4.56,2.0,2.0,7.0,1804.0,2285.36,2,0.2857,True,SEG-1
EQ-FAN-220,fan,SITE-SUD,medium,1.0,52.5,9.31,1.0,0.0,3.0,225.0,104.28999999999999,0,0.0,False,SEG-2
EQ-FAN-224,fan,SITE-NORD,high,2.0,59.1,13.66,1.0,1.0,7.0,2214.0,2849.37,3,0.4286,False,SEG-1
EQ-FAN-240,fan,SITE-SUD,high,2.0,45.4,7.83,1.0,0.0,2.0,72.0,154.79,0,0.0,False,SEG-2
EQ-FAN-244,fan,SITE-NORD,high,2.0,78.2,5.74,1.0,1.0,5.0,1227.0,1276.75,1,0.2,False,SEG-1
EQ-FAN-260,fan,SITE-NORD,medium,1.0,74.3,6.61,2.0,0.0,5.0,589.0,160.22,1,0.2,False,SEG-2
EQ-FAN-264,fan,SITE-SUD,high,2.0,51.3,6.46,1.0,1.0,4.0,1101.0,1466.47,0,0.0,False,SEG-1
EQ-FAN-280,fan,SITE-EST,medium,1.0,53.7,20.16,0.0,0.0,0.0,0.0,0.0,0,0.0,False,SEG-INACTIF
EQ-FAN-284,fan,SITE-SUD,medium,1.0,45.8,3.48,3.0,2.0,11.0,2495.0,2643.3,2,0.1818,True,SEG-1
EQ-FAN-300,fan,SITE-NORD,medium,1.0,48.6,18.48,2.0,0.0,10.0,760.0,835.15,1,0.1,False,SEG-1
EQ-FAN-304,fan,SITE-NORD,high,2.0,55.0,12.14,4.0,2.0,11.0,1495.0,2173.65,3,0.2727,True,SEG-1
EQ-FAN-320,fan,SITE-EST,medium,1.0,58.6,3.71,1.0,0.0,3.0,140.0,213.88,1,0.3333,False,SEG-2
EQ-FAN-324,fan,SITE-SUD,high,2.0,43.5,18.18,1.0,1.0,2.0,582.0,1279.78,0,0.0,False,SEG-2
EQ-FAN-340,fan,SITE-NORD,high,2.0,50.8,16.97,1.0,0.0,4.0,236.0,351.58,2,0.5,False,SEG-2
EQ-FAN-344,fan,SITE-SUD,medium,1.0,64.0,13.54,1.0,1.0,8.0,2136.0,2885.15,3,0.375,False,SEG-1
EQ-FAN-360,fan,SITE-SUD,critical,3.0,67.8,11.15,1.0,0.0,3.0,244.0,39.23,0,0.0,False,SEG-2
EQ-FAN-364,fan,SITE-OUEST,medium,1.0,62.4,1.63,1.0,1.0,0.0,0.0,0.0,0,0.0,False,SEG-INACTIF
EQ-FAN-380,fan,SITE-NORD,medium,1.0,84.8,16.82,2.0,0.0,6.0,312.0,670.45,2,0.3333,False,SEG-2
EQ-FAN-384,fan,SITE-SUD,high,2.0,41.5,4.29,1.0,1.0,2.0,444.0,743.49,0,0.0,False,SEG-2
EQ-GEAR-121,gearbox,SITE-EST,medium,1.0,69.5,4.58,1.0,1.0,5.0,673.0,1379.5900000000001,1,0.2,False,SEG-1
EQ-GEAR-132,gearbox,SITE-SUD,high,2.0,72.6,5.38,1.0,1.0,4.0,639.0,848.9000000000001,1,0.25,False,SEG-1
EQ-GEAR-143,gearbox,SITE-NORD,critical,3.0,52.0,4.73,1.0,1.0,3.0,537.0,628.1,2,0.6667,False,SEG-2
EQ-GEAR-154,gearbox,SITE-SUD,medium,1.0,78.0,7.58,1.0,1.0,6.0,1055.0,1362.6699999999998,2,0.3333,False,SEG-1
EQ-GEAR-165,gearbox,SITE-SUD,low,0.0,87.1,16.79,1.0,1.0,6.0,1000.0,1759.98,0,0.0,False,SEG-1
EQ-LIFT-286,lift,SITE-NORD,medium,1.0,75.7,15.52,1.0,1.0,1.0,176.0,52.83,0,0.0,False,SEG-2
EQ-LIFT-297,lift,SITE-NORD,high,2.0,51.9,17.2,1.0,1.0,2.0,352.0,1083.08,0,0.0,False,SEG-2
EQ-LIFT-308,lift,SITE-EST,low,0.0,51.3,5.38,1.0,1.0,4.0,738.0,1271.76,0,0.0,False,SEG-1
EQ-LIFT-319,lift,SITE-SUD,critical,3.0,55.3,18.58,1.0,1.0,3.0,574.0,852.8,0,0.0,False,SEG-2
EQ-LIFT-330,lift,SITE-NORD,medium,1.0,55.7,4.07,1.0,1.0,7.0,1155.0,1242.03,2,0.2857,False,SEG-1
EQ-MIX-001,mixer,SITE-NORD,medium,1.0,48.7,16.75,2.0,0.0,5.0,227.0,105.84,0,0.0,False,SEG-2
EQ-MIX-002,mixer,SITE-NORD,critical,3.0,68.3,5.48,1.0,0.0,2.0,226.0,121.31,0,0.0,False,SEG-2
EQ-MIX-119,mixer,SITE-SUD,medium,1.0,38.3,20.36,1.0,0.0,3.0,343.0,843.96,1,0.3333,False,SEG-2
EQ-MIX-139,mixer,SITE-NORD,low,0.0,45.6,11.23,1.0,0.0,4.0,460.0,495.3,1,0.25,False,SEG-2
EQ-MIX-159,mixer,SITE-NORD,high,2.0,61.2,14.48,2.0,0.0,13.0,1260.0,1964.05,2,0.1538,True,SEG-1
EQ-MIX-179,mixer,SITE-NORD,high,2.0,47.4,15.3,2.0,0.0,9.0,979.0,907.96,0,0.0,False,SEG-1
EQ-MIX-199,mixer,SITE-EST,high,2.0,41.5,9.36,1.0,0.0,1.0,122.0,38.82,1,1.0,False,SEG-2
EQ-MIX-219,mixer,SITE-EST,critical,3.0,65.0,11.47,1.0,0.0,5.0,521.0,625.11,1,0.2,False,SEG-2
EQ-MIX-239,mixer,SITE-EST,high,2.0,49.6,18.66,1.0,0.0,0.0,0.0,0.0,0,0.0,False,SEG-INACTIF
EQ-MIX-259,mixer,SITE-NORD,medium,1.0,41.9,5.35,4.0,0.0,11.0,707.0,1366.0700000000002,2,0.1818,True,SEG-1
EQ-MIX-261,mixer,SITE-NORD,low,0.0,52.1,5.53,1.0,0.0,5.0,655.0,448.38,0,0.0,False,SEG-2
EQ-MIX-272,mixer,SITE-NORD,high,2.0,46.9,3.82,2.0,0.0,6.0,492.0,798.1800000000001,2,0.3333,False,SEG-1
EQ-MIX-279,mixer,SITE-SUD,high,2.0,72.4,14.72,1.0,0.0,7.0,624.0,1112.26,1,0.1429,False,SEG-1
EQ-MIX-283,mixer,SITE-SUD,medium,1.0,100.0,6.15,0.0,0.0,0.0,0.0,0.0,0,0.0,False,SEG-INACTIF
EQ-MIX-294,mixer,SITE-NORD,low,0.0,58.2,11.41,1.0,0.0,4.0,495.0,964.0,1,0.25,False,SEG-2
EQ-MIX-299,mixer,SITE-NORD,medium,1.0,90.4,15.02,1.0,0.0,1.0,72.0,32.06,0,0.0,False,SEG-2
EQ-MIX-305,mixer,SITE-SUD,medium,1.0,45.1,15.86,1.0,0.0,1.0,69.0,15.22,0,0.0,False,SEG-2
EQ-MIX-319,mixer,SITE-EST,medium,1.0,59.0,11.73,1.0,0.0,2.0,99.0,762.6700000000001,1,0.5,False,SEG-2
EQ-MIX-339,mixer,SITE-OUEST,high,2.0,28.0,1.65,2.0,0.0,7.0,747.0,311.78,1,0.1429,False,SEG-1
EQ-MIX-359,mixer,SITE-NORD,high,2.0,65.6,7.34,1.0,0.0,6.0,594.0,692.92,1,0.1667,False,SEG-2
EQ-MIX-379,mixer,SITE-EST,critical,3.0,44.0,11.24,2.0,0.0,7.0,686.0,551.2,1,0.1429,True,SEG-1
EQ-MIX-399,mixer,SITE-NORD,medium,1.0,50.7,8.3,1.0,0.0,3.0,321.0,106.98,0,0.0,False,SEG-2
EQ-MOTOR-311,motor,SITE-NORD,high,2.0,48.0,7.46,1.0,1.0,2.0,344.0,498.36,0,0.0,False,SEG-2
EQ-MOTOR-322,motor,SITE-EST,medium,1.0,43.1,13.12,1.0,1.0,4.0,760.0,1205.3,1,0.25,False,SEG-1
EQ-MOTOR-333,motor,SITE-SUD,medium,1.0,44.7,16.76,1.0,1.0,7.0,1354.0,1443.94,1,0.1429,False,SEG-1
EQ-MOTOR-344,motor,SITE-SUD,medium,1.0,55.9,8.25,1.0,1.0,7.0,1299.0,1917.72,3,0.4286,False,SEG-1
EQ-MOTOR-355,motor,SITE-NORD,high,2.0,36.6,8.99,1.0,1.0,4.0,720.0,1515.52,1,0.25,False,SEG-1
EQ-OVEN-001,oven,SITE-SUD,critical,3.0,114.7,19.38,2.0,1.0,7.0,756.0,780.44,2,0.2857,True,SEG-1
EQ-OVEN-002,oven,SITE-EST,medium,1.0,191.4,3.73,1.0,1.0,5.0,1487.0,2344.92,2,0.4,False,SEG-1
EQ-OVEN-103,oven,SITE-NORD,low,0.0,181.6,13.29,2.0,0.0,1.0,12.0,259.5,0,0.0,False,SEG-2
EQ-OVEN-106,oven,SITE-EST,low,0.0,126.4,11.1,1.0,1.0,7.0,1282.0,2553.43,3,0.4286,False,SEG-1
