event_id,equipment_id,sensor_name,event_type,severity,mesures,mesures_renseignees,minimum,maximum,moyenne,ecart_type,premiere_mesure,derniere_mesure,completude_pct
EVT-2026S1-0091,EQ-COMP-002,pressure_bar,observation,medium,14,14,6.09,7.0,6.499,0.329,2026-04-16 00:00:00+00:00,2026-04-19 06:00:00+00:00,100.0
EVT-2026S1-0091,EQ-COMP-002,temperature_c,observation,medium,14,14,50.68,63.13,58.904,3.87,2026-04-16 00:00:00+00:00,2026-04-19 06:00:00+00:00,100.0
EVT-2026S1-0093,EQ-OVEN-223,current_a,incident,low,16,16,19.74,25.82,23.722,1.907,2026-03-21 00:00:00+00:00,2026-03-24 18:00:00+00:00,100.0
EVT-2026S1-0093,EQ-OVEN-223,temperature_c,incident,low,16,16,55.19,67.48,61.054,3.763,2026-03-21 00:00:00+00:00,2026-03-24 18:00:00+00:00,100.0
EVT-2026S1-0106,EQ-OVEN-366,current_a,incident,high,15,15,22.78,30.04,26.129,2.105,2026-04-07 00:00:00+00:00,2026-04-10 12:00:00+00:00,100.0
EVT-2026S1-0106,EQ-OVEN-366,temperature_c,incident,high,15,15,47.79,60.92,54.199,3.95,2026-04-07 00:00:00+00:00,2026-04-10 12:00:00+00:00,100.0
EVT-2026S1-0151,EQ-CAB-134,current_a,incident,medium,13,13,19.54,23.9,21.692,1.259,2026-06-17 00:00:00+00:00,2026-06-20 00:00:00+00:00,100.0
EVT-2026S1-0151,EQ-CAB-134,temperature_c,incident,medium,13,13,47.92,60.74,55.088,4.311,2026-06-17 00:00:00+00:00,2026-06-20 00:00:00+00:00,100.0
EVT-2026S1-0155,EQ-SENSOR-305,temperature_c,observation,medium,12,12,50.75,62.51,56.206,3.75,2026-01-12 12:00:00+00:00,2026-01-15 06:00:00+00:00,100.0
EVT-2026S1-0169,EQ-MIX-159,current_a,incident,medium,14,14,22.01,28.09,24.901,1.712,2026-01-11 00:00:00+00:00,2026-01-14 06:00:00+00:00,100.0
EVT-2026S1-0169,EQ-MIX-159,vibration_mm_s,incident,medium,14,14,2.12,3.29,2.691,0.335,2026-01-11 00:00:00+00:00,2026-01-14 06:00:00+00:00,100.0
EVT-2026S1-0172,EQ-OVEN-223,current_a,incident,low,16,16,20.69,26.25,23.173,2.205,2026-06-11 12:00:00+00:00,2026-06-15 06:00:00+00:00,100.0
EVT-2026S1-0172,EQ-OVEN-223,temperature_c,incident,low,16,16,55.73,65.11,61.094,3.573,2026-06-11 12:00:00+00:00,2026-06-15 06:00:00+00:00,100.0
EVT-2026S1-0189,EQ-MIX-379,current_a,incident,medium,15,15,19.25,25.72,22.163,1.978,2026-02-23 00:00:00+00:00,2026-02-26 12:00:00+00:00,100.0
EVT-2026S1-0189,EQ-MIX-379,vibration_mm_s,incident,medium,15,15,2.3,3.37,2.909,0.269,2026-02-23 00:00:00+00:00,2026-02-26 12:00:00+00:00,100.0
EVT-2026S1-0193,EQ-OVEN-123,current_a,observation,low,16,16,20.66,27.37,24.104,2.048,2026-01-21 18:00:00+00:00,2026-01-25 12:00:00+00:00,100.0
EVT-2026S1-0193,EQ-OVEN-123,temperature_c,observation,low,16,16,50.95,64.45,57.781,4.247,2026-01-21 18:00:00+00:00,2026-01-25 12:00:00+00:00,100.0
EVT-2026S1-0203,EQ-COMP-233,pressure_bar,intervention,high,13,13,6.24,7.26,6.652,0.312,2026-05-19 00:00:00+00:00,2026-05-22 00:00:00+00:00,100.0
EVT-2026S1-0203,EQ-COMP-233,temperature_c,intervention,high,13,13,53.56,64.81,59.983,3.367,2026-05-19 00:00:00+00:00,2026-05-22 00:00:00+00:00,100.0
EVT-2026S1-0216,EQ-CONV-376,current_a,observation,high,15,15,18.47,24.63,21.441,1.82,2026-05-29 12:00:00+00:00,2026-06-02 00:00:00+00:00,100.0
EVT-2026S1-0216,EQ-CONV-376,rpm,observation,high,15,15,1455.48,1558.3,1511.707,30.466,2026-05-29 12:00:00+00:00,2026-06-02 00:00:00+00:00,100.0
EVT-2026S1-0232,EQ-FAN-284,rpm,incident,low,14,14,1606.16,1699.82,1644.495,32.451,2026-04-13 18:00:00+00:00,2026-04-17 00:00:00+00:00,100.0
EVT-2026S1-0232,EQ-FAN-284,vibration_mm_s,incident,low,14,14,2.11,3.26,2.64,0.353,2026-04-13 18:00:00+00:00,2026-04-17 00:00:00+00:00,100.0
EVT-2026S1-0259,EQ-COMP-249,pressure_bar,incident,high,15,15,4.56,5.71,5.165,0.289,2026-03-23 12:00:00+00:00,2026-03-27 00:00:00+00:00,100.0
EVT-2026S1-0264,EQ-FAN-304,rpm,intervention,critical,16,16,1478.56,1626.3,1529.499,46.835,2026-02-25 12:00:00+00:00,2026-03-01 06:00:00+00:00,100.0
EVT-2026S1-0264,EQ-FAN-304,vibration_mm_s,intervention,critical,16,16,1.83,3.25,2.654,0.372,2026-02-25 12:00:00+00:00,2026-03-01 06:00:00+00:00,100.0
EVT-2026S1-0271,EQ-OVEN-123,current_a,incident,medium,15,15,21.73,27.04,24.24,1.733,2026-04-11 06:00:00+00:00,2026-04-14 18:00:00+00:00,100.0
EVT-2026S1-0271,EQ-OVEN-123,temperature_c,incident,medium,15,15,52.19,63.32,57.831,3.811,2026-04-11 06:00:00+00:00,2026-04-14 18:00:00+00:00,100.0
EVT-2026S1-0272,EQ-MIX-259,current_a,observation,low,13,13,19.38,24.79,22.155,1.548,2026-05-09 18:00:00+00:00,2026-05-12 18:00:00+00:00,100.0
EVT-2026S1-0272,EQ-MIX-259,vibration_mm_s,observation,low,13,13,2.3,3.19,2.715,0.303,2026-05-09 18:00:00+00:00,2026-05-12 18:00:00+00:00,100.0
EVT-2026S1-0292,EQ-MIX-259,current_a,alert,low,15,15,17.23,25.77,21.937,2.362,2026-01-10 00:00:00+00:00,2026-01-13 12:00:00+00:00,100.0
EVT-2026S1-0292,EQ-MIX-259,vibration_mm_s,alert,low,15,15,2.11,3.1,2.579,0.285,2026-01-10 00:00:00+00:00,2026-01-13 12:00:00+00:00,100.0
EVT-2026S1-0308,EQ-CHILL-188,pressure_bar,alert,high,16,16,5.51,6.74,6.124,0.385,2026-06-05 12:00:00+00:00,2026-06-09 06:00:00+00:00,100.0
EVT-2026S1-0308,EQ-CHILL-188,temperature_c,alert,high,16,16,53.15,68.96,61.001,4.049,2026-06-05 12:00:00+00:00,2026-06-09 06:00:00+00:00,100.0
EVT-2026S1-0326,EQ-OVEN-386,current_a,incident,high,15,15,20.32,28.49,25.235,2.229,2026-05-11 06:00:00+00:00,2026-05-14 18:00:00+00:00,100.0
EVT-2026S1-0326,EQ-OVEN-386,temperature_c,incident,high,15,15,61.24,74.27,67.598,3.539,2026-05-11 06:00:00+00:00,2026-05-14 18:00:00+00:00,100.0
EVT-2026S1-0342,EQ-CONV-262,current_a,intervention,medium,17,17,25.1,32.03,28.471,2.012,2026-05-19 12:00:00+00:00,2026-05-23 12:00:00+00:00,100.0
EVT-2026S1-0342,EQ-CONV-262,rpm,intervention,medium,17,17,1390.49,1540.06,1465.612,36.546,2026-05-19 12:00:00+00:00,2026-05-23 12:00:00+00:00,100.0
EVT-2026S1-0344,EQ-FAN-284,rpm,alert,critical,17,17,1450.78,1690.43,1558.605,69.566,2026-01-08 12:00:00+00:00,2026-01-12 12:00:00+00:00,100.0
EVT-2026S1-0344,EQ-FAN-284,vibration_mm_s,alert,critical,17,17,2.46,4.47,3.486,0.622,2026-01-08 12:00:00+00:00,2026-01-12 12:00:00+00:00,100.0
EVT-2026S1-0350,EQ-PUMP-350,temperature_c,intervention,high,13,13,54.4,63.86,59.142,3.697,2026-06-05 18:00:00+00:00,2026-06-08 18:00:00+00:00,100.0
EVT-2026S1-0350,EQ-PUMP-350,vibration_mm_s,intervention,high,13,13,2.62,3.39,2.928,0.24,2026-06-05 18:00:00+00:00,2026-06-08 18:00:00+00:00,100.0
EVT-2026S1-0361,EQ-PUMP-171,temperature_c,intervention,high,14,14,58.67,65.81,61.811,2.278,2026-06-10 00:00:00+00:00,2026-06-13 06:00:00+00:00,100.0
EVT-2026S1-0361,EQ-PUMP-171,vibration_mm_s,intervention,high,14,14,2.22,3.64,2.851,0.421,2026-06-10 00:00:00+00:00,2026-06-13 06:00:00+00:00,100.0
EVT-2026S1-0364,EQ-FAN-204,vibration_mm_s,incident,critical,18,18,2.76,5.05,3.944,0.715,2026-02-14 12:00:00+00:00,2026-02-18 18:00:00+00:00,100.0
EVT-2026S1-0368,EQ-CHILL-248,pressure_bar,incident,high,13,13,6.31,7.38,6.733,0.322,2026-03-09 06:00:00+00:00,2026-03-12 06:00:00+00:00,100.0
EVT-2026S1-0368,EQ-CHILL-248,temperature_c,incident,high,13,13,47.98,61.25,55.384,4.724,2026-03-09 06:00:00+00:00,2026-03-12 06:00:00+00:00,100.0
EVT-2026S1-0369,EQ-MIX-259,current_a,incident,medium,17,17,18.62,25.6,21.988,1.994,2026-01-22 06:00:00+00:00,2026-01-26 06:00:00+00:00,100.0
EVT-2026S1-0369,EQ-MIX-259,vibration_mm_s,incident,medium,17,17,1.97,3.33,2.606,0.367,2026-01-22 06:00:00+00:00,2026-01-26 06:00:00+00:00,100.0
EVT-2026S1-0371,EQ-MIX-159,current_a,incident,medium,17,17,22.64,29.08,25.751,1.88,2026-05-05 06:00:00+00:00,2026-05-09 06:00:00+00:00,100.0
EVT-2026S1-0371,EQ-MIX-159,vibration_mm_s,incident,medium,17,17,2.28,3.4,2.814,0.343,2026-05-05 06:00:00+00:00,2026-05-09 06:00:00+00:00,100.0
EVT-2026S1-0376,EQ-CONV-336,current_a,intervention,high,18,18,18.4,26.65,22.351,2.115,2026-06-18 18:00:00+00:00,2026-06-23 00:00:00+00:00,100.0
EVT-2026S1-0376,EQ-CONV-336,rpm,intervention,high,18,18,1283.59,1411.48,1347.188,35.998,2026-06-18 18:00:00+00:00,2026-06-23 00:00:00+00:00,100.0
EVT-2026S1-0378,EQ-ROBOT-358,current_a,observation,medium,14,14,17.7,23.87,20.566,1.932,2026-05-30 00:00:00+00:00,2026-06-02 06:00:00+00:00,100.0
EVT-2026S1-0378,EQ-ROBOT-358,vibration_mm_s,observation,medium,14,14,2.25,3.36,2.796,0.336,2026-05-30 00:00:00+00:00,2026-06-02 06:00:00+00:00,100.0
EVT-2026S1-0383,EQ-COMP-113,pressure_bar,incident,high,13,13,5.32,6.35,5.788,0.32,2026-02-02 18:00:00+00:00,2026-02-05 18:00:00+00:00,100.0
EVT-2026S1-0383,EQ-COMP-113,temperature_c,incident,high,13,13,58.7,70.93,65.475,4.188,2026-02-02 18:00:00+00:00,2026-02-05 18:00:00+00:00,100.0
EVT-2026S1-0388,EQ-CHILL-168,pressure_bar,incident,high,12,12,6.33,7.73,6.898,0.364,2026-03-18 06:00:00+00:00,2026-03-21 00:00:00+00:00,100.0
EVT-2026S1-0388,EQ-CHILL-168,temperature_c,incident,high,12,12,56.05,68.5,62.107,4.451,2026-03-18 06:00:00+00:00,2026-03-21 00:00:00+00:00,100.0
EVT-2026S1-0393,EQ-OVEN-223,current_a,observation,low,15,15,20.24,26.26,23.797,1.979,2026-03-24 18:00:00+00:00,2026-03-28 06:00:00+00:00,100.0
EVT-2026S1-0393,EQ-OVEN-223,temperature_c,observation,low,15,15,55.85,66.69,61.638,4.052,2026-03-24 18:00:00+00:00,2026-03-28 06:00:00+00:00,100.0
EVT-2026S1-0431,EQ-STEAM-341,pressure_bar,observation,medium,13,13,5.53,6.35,5.945,0.278,2026-02-16 18:00:00+00:00,2026-02-19 18:00:00+00:00,100.0
EVT-2026S1-0431,EQ-STEAM-341,temperature_c,observation,medium,13,13,48.86,61.8,55.057,3.852,2026-02-16 18:00:00+00:00,2026-02-19 18:00:00+00:00,100.0
EVT-2026S1-0432,EQ-STEAM-352,pressure_bar,observation,medium,17,17,5.91,6.86,6.383,0.263,2026-05-19 12:00:00+00:00,2026-05-23 12:00:00+00:00,100.0
EVT-2026S1-0432,EQ-STEAM-352,temperature_c,observation,medium,17,17,54.31,64.15,59.506,3.358,2026-05-19 12:00:00+00:00,2026-05-23 12:00:00+00:00,100.0
EVT-2026S1-0436,EQ-COMP-396,pressure_bar,incident,medium,15,15,5.69,6.52,6.119,0.228,2026-02-12 06:00:00+00:00,2026-02-15 18:00:00+00:00,100.0
EVT-2026S1-0465,EQ-CHILL-115,pressure_bar,observation,high,14,14,6.62,7.71,7.058,0.293,2026-01-14 00:00:00+00:00,2026-01-17 06:00:00+00:00,100.0
EVT-2026S1-0465,EQ-CHILL-115,temperature_c,observation,high,14,14,54.41,66.55,60.426,3.916,2026-01-14 00:00:00+00:00,2026-01-17 06:00:00+00:00,100.0
EVT-2026S1-0476,EQ-COMP-233,pressure_bar,incident,medium,13,13,6.17,6.98,6.589,0.253,2026-03-19 18:00:00+00:00,2026-03-22 18:00:00+00:00,100.0
EVT-2026S1-0476,EQ-COMP-233,temperature_c,incident,medium,13,13,53.72,64.24,58.077,3.204,2026-03-19 18:00:00+00:00,2026-03-22 18:00:00+00:00,100.0
EVT-2026S1-0484,EQ-CHILL-115,pressure_bar,observation,high,16,16,6.53,7.49,6.944,0.266,2026-06-04 18:00:00+00:00,2026-06-08 12:00:00+00:00,100.0
EVT-2026S1-0484,EQ-CHILL-115,temperature_c,observation,high,16,16,51.71,65.7,59.187,4.222,2026-06-04 18:00:00+00:00,2026-06-08 12:00:00+00:00,100.0
EVT-2026S1-0485,EQ-SENSOR-305,temperature_c,incident,high,17,17,52.13,68.6,59.851,4.38,2026-02-11 06:00:00+00:00,2026-02-15 06:00:00+00:00,100.0
EVT-2026S1-0494,EQ-CAB-134,current_a,intervention,critical,12,12,17.78,24.11,21.242,2.012,2026-01-24 00:00:00+00:00,2026-01-26 18:00:00+00:00,100.0
EVT-2026S1-0494,EQ-CAB-134,temperature_c,intervention,critical,12,12,48.96,59.99,54.556,3.766,2026-01-24 00:00:00+00:00,2026-01-26 18:00:00+00:00,100.0
EVT-2026S1-X004,EQ-OVEN-123,current_a,incident,high,15,15,22.7,30.13,26.323,2.166,2026-03-02 06:00:00+00:00,2026-03-05 18:00:00+00:00,100.0
EVT-2026S1-X004,EQ-OVEN-123,temperature_c,incident,high,15,15,55.17,66.41,62.057,3.627,2026-03-02 06:00:00+00:00,2026-03-05 18:00:00+00:00,100.0
EVT-2026S1-X006,EQ-OVEN-386,current_a,alert,low,17,17,20.14,26.42,23.683,1.957,2026-02-17 00:00:00+00:00,2026-02-21 00:00:00+00:00,100.0
EVT-2026S1-X006,EQ-OVEN-386,temperature_c,alert,low,17,17,55.11,69.92,62.556,4.222,2026-02-17 00:00:00+00:00,2026-02-21 00:00:00+00:00,100.0
EVT-2026S1-X007,EQ-STEAM-352,pressure_bar,incident,high,13,13,5.55,6.51,6.144,0.282,2026-06-02 00:00:00+00:00,2026-06-05 00:00:00+00:00,100.0
EVT-2026S1-X007,EQ-STEAM-352,temperature_c,incident,high,13,13,55.33,68.67,62.755,3.879,2026-06-02 00:00:00+00:00,2026-06-05 00:00:00+00:00,100.0
EVT-2026S1-X008,EQ-CHILL-168,pressure_bar,intervention,high,15,15,6.71,7.42,7.119,0.202,2026-04-24 00:00:00+00:00,2026-04-27 12:00:00+00:00,100.0
EVT-2026S1-X008,EQ-CHILL-168,temperature_c,intervention,high,15,15,55.38,64.07,59.049,3.104,2026-04-24 00:00:00+00:00,2026-04-27 12:00:00+00:00,100.0
EVT-2026S1-X009,EQ-COMP-233,pressure_bar,incident,high,17,17,5.8,6.86,6.316,0.345,2026-06-06 00:00:00+00:00,2026-06-10 00:00:00+00:00,100.0
EVT-2026S1-X009,EQ-COMP-233,temperature_c,incident,high,17,17,54.44,71.26,63.014,4.766,2026-06-06 00:00:00+00:00,2026-06-10 00:00:00+00:00,100.0
EVT-2026S1-X010,EQ-OVEN-366,current_a,intervention,medium,13,13,21.0,26.64,23.738,1.896,2026-03-20 00:00:00+00:00,2026-03-23 00:00:00+00:00,100.0
EVT-2026S1-X010,EQ-OVEN-366,temperature_c,intervention,medium,13,13,47.18,55.75,51.168,2.702,2026-03-20 00:00:00+00:00,2026-03-23 00:00:00+00:00,100.0
EVT-2026S1-X011,EQ-FAN-304,rpm,incident,low,15,15,1465.57,1593.25,1534.179,42.622,2026-01-18 12:00:00+00:00,2026-01-22 00:00:00+00:00,100.0
EVT-2026S1-X011,EQ-FAN-304,vibration_mm_s,incident,low,15,15,2.08,3.06,2.633,0.25,2026-01-18 12:00:00+00:00,2026-01-22 00:00:00+00:00,100.0
EVT-2026S1-X012,EQ-CONV-003,current_a,incident,critical,18,18,20.24,28.21,24.154,2.35,2026-05-18 06:00:00+00:00,2026-05-22 12:00:00+00:00,100.0
EVT-2026S1-X012,EQ-CONV-003,rpm,incident,critical,18,18,1104.53,1337.49,1231.104,59.252,2026-05-18 06:00:00+00:00,2026-05-22 12:00:00+00:00,100.0
EVT-2026S1-X014,EQ-PUMP-171,temperature_c,intervention,medium,18,18,54.9,65.81,60.686,3.751,2026-06-05 18:00:00+00:00,2026-06-10 00:00:00+00:00,100.0
EVT-2026S1-X014,EQ-PUMP-171,vibration_mm_s,intervention,medium,18,18,2.34,3.44,2.899,0.339,2026-06-05 18:00:00+00:00,2026-06-10 00:00:00+00:00,100.0
EVT-2026S1-X016,EQ-COMP-002,pressure_bar,incident,medium,17,17,6.23,7.09,6.644,0.213,2026-05-24 18:00:00+00:00,2026-05-28 18:00:00+00:00,100.0
EVT-2026S1-X016,EQ-COMP-002,temperature_c,incident,medium,17,17,54.2,65.36,59.693,3.845,2026-05-24 18:00:00+00:00,2026-05-28 18:00:00+00:00,100.0
EVT-2026S1-X021,EQ-FAN-002,current_a,incident,medium,16,15,21.76,26.86,23.806,1.399,2026-05-31 06:00:00+00:00,2026-06-04 00:00:00+00:00,93.75
EVT-2026S1-X021,EQ-FAN-002,rpm,incident,medium,16,16,1198.69,1317.29,1245.386,32.875,2026-05-31 06:00:00+00:00,2026-06-04 00:00:00+00:00,100.0
EVT-2026S1-X021,EQ-FAN-002,vibration_mm_s,incident,medium,16,16,2.53,3.64,2.968,0.282,2026-05-31 06:00:00+00:00,2026-06-04 00:00:00+00:00,100.0
EVT-2026S1-X022,EQ-FAN-304,rpm,incident,low,12,12,1427.8,1573.55,1501.93,50.952,2026-04-02 00:00:00+00:00,2026-04-04 18:00:00+00:00,100.0
